3648	-108	-108	-128	-128	-137	-137	-136	-136	-136	-136	-125	-125	-109	-109	-100	-100	-96	-96	-97	-97	-112	-112	-120	-120	-109	-109	-101	-101	-73	-73	-45	-45	-33	-33	-21	-21	-5	-5	4	4	19	19	16	16	8	8	4	4	11	11	27	27	39	39	51	51	56	56	52	52	60	60	76	76	64	64	59	59	44	44	24	24	20	20	11	11	27	27	39	39	56	56	59	59	56	56	68	68	63	63	64	64	51	51	32	32	31	31	35	35	55	55	83	83	111	111	123	123	136	136	152	152	164	164	156	156	139	139	135	135	104	104	75	75	47	47	27	27	8	8	-9	-9	-13	-13	-8	-8	-16	-16	-17	-17	-17	-17	-29	-29	-36	-36	-44	-44	-40	-40	-48	-48	-61	-61	-64	-64	-69	-69	-65	-65	-65	-65	-76	-76	-84	-84	-96	-96	-108	-108	-109	-109	-93	-93	-96	-96	-96	-96	-64	-64	-41	-41	-25	-25	-9	-9	8	8	15	15	7	7	4	4	-9	-9	-24	-24	-28	-28	-33	-33	-52	-52	-61	-61	-69	-69	-61	-61	-53	-53	-64	-64	-77	-77	-84	-84	-89	-89	-104	-104	-100	-100	-105	-105	-96	-96	-89	-89	-85	-85	-65	-65	-49	-49	-33	-33	-28	-28	-36	-36	-53	-53	-53	-53	-60	-60	-49	-49	-29	-29	-24	-24	-1	-1	15	15	-1	-1	-32	-32	-40	-40	-52	-52	-53	-53	-52	-52	-49	-49	-45	-45	-49	-49	-49	-49	-40	-40	-32	-32	-24	-24	-20	-20	-32	-32	-48	-48	-68	-68	-77	-77	-93	-93	-92	-92	-72	-72	-52	-52	-29	-29	-28	-28	-17	-17	-13	-13	-8	-8	7	7	12	12	16	16	20	20	32	32	44	44	76	76	107	107	112	112	107	107	92	92	76	76	48	48	35	35	11	11	0	0	0	0	-4	-4	23	23	43	43	59	59	68	68	64	64	44	44	27	27	16	16	-13	-13	-21	-21	-24	-24	-25	-25	-13	-13	-9	-9	-8	-8	7	7	7	7	20	20	40	40	60	60	63	63	56	56	51	51	52	52	63	63	60	60	60	60	63	63	51	51	48	48	55	55	44	44	31	31	11	11	-12	-12	-29	-29	-48	-48	-65	-65	-61	-61	-49	-49	-44	-44	-33	-33	-32	-32	-36	-36	-40	-40	-44	-44	-48	-48	-57	-57	-57	-57	-60	-60	-61	-61	-68	-68	-60	-60	-52	-52	-32	-32	-8	-8	16	16	31	31	39	39	28	28	32	32	44	44	40	40	51	51	64	64	63	63	60	60	56	56	28	28	-4	-4	-16	-16	-16	-16	-16	-16	7	7	11	11	15	15	
30.24
0.00	-0.00	1.00	0.02	-0.11	0.10
0.00	-0.00	1.00	0.04	-0.05	-0.02
0.00	0.00	1.01	0.10	-0.03	0.07
0.00	-0.00	1.00	-0.03	0.09	0.06
0.00	0.00	1.00	-0.06	0.12	0.06
0.00	-0.00	1.00	-0.06	0.01	0.02
0.00	0.00	1.00	-0.01	-0.00	0.12
-0.00	0.00	1.01	-0.01	0.03	0.12
0.01	0.00	1.00	0.08	0.06	0.04
0.00	0.00	1.00	0.17	-0.00	0.13
0.00	0.00	1.00	0.01	-0.06	0.13
0.00	0.00	1.00	-0.13	-0.05	0.02
0.00	-0.00	1.00	-0.07	-0.09	0.01
0.01	-0.00	1.00	0.10	-0.11	-0.05
-0.00	0.00	1.00	0.01	0.01	-0.08
-0.00	0.00	1.01	-0.01	-0.06	0.02
0.00	0.00	1.01	-0.04	-0.11	0.04
0.01	0.00	1.00	0.01	-0.05	0.07
0.01	-0.00	1.00	0.01	0.12	0.13
0.00	-0.00	1.00	-0.09	0.13	0.04
0.00	0.00	1.00	-0.06	-0.02	0.06
-0.01	0.00	0.99	-0.04	-0.14	-0.05
-0.00	0.00	1.00	-0.06	-0.14	-0.14
-0.00	0.00	1.00	-0.06	0.04	-0.07
-0.00	0.00	1.00	-0.07	-0.00	0.02
-0.00	-0.01	1.00	-0.03	-0.05	-0.02
-0.00	-0.00	1.00	0.10	0.15	0.01
-0.00	0.00	0.99	0.10	0.10	-0.11
0.00	0.00	1.00	0.02	0.06	-0.13
0.01	0.00	1.00	0.05	0.03	0.02
0.00	0.00	1.00	0.01	-0.03	-0.02
0.00	-0.00	1.00	-0.07	-0.09	-0.11
-0.00	-0.00	1.00	0.04	-0.03	-0.04
0.00	-0.00	1.00	0.14	0.04	-0.11
0.00	-0.00	1.00	0.10	0.10	-0.08
0.00	0.00	1.00	0.10	-0.03	-0.11
0.00	0.00	0.99	0.05	-0.03	0.04
0.01	-0.00	1.00	0.04	-0.11	-0.08
0.00	-0.01	1.00	-0.04	-0.02	-0.11
0.00	-0.00	1.01	-0.04	0.04	0.09
0.00	-0.00	1.00	0.02	0.09	0.12
-0.00	0.00	1.00	0.07	0.03	0.02
0.00	0.00	1.00	0.05	0.12	-0.13
0.00	0.00	1.00	0.07	0.10	-0.20
0.00	0.00	1.00	-0.04	-0.00	-0.11
-0.00	-0.00	1.00	-0.19	0.06	0.04
-0.00	0.00	1.00	-0.13	0.09	0.06
0.00	-0.00	1.00	-0.06	0.03	0.04
0.00	0.00	1.00	-0.09	0.04	-0.10
-0.00	0.00	1.00	0.10	0.07	-0.17
-0.00	0.01	0.99	0.02	0.04	-0.14
-0.00	0.00	1.00	-0.10	-0.13	-0.01
-0.00	-0.01	1.00	-0.04	0.01	-0.10
0.00	-0.01	0.99	0.02	0.09	-0.11
0.00	-0.00	0.99	0.04	0.15	-0.10
0.00	-0.00	0.99	0.02	-0.02	0.01
-0.01	-0.00	0.99	0.01	-0.08	-0.05
0.00	-0.01	1.00	-0.03	-0.09	-0.02
0.01	-0.00	1.00	0.05	0.04	-0.08
0.00	-0.00	1.00	0.02	-0.09	-0.11
0.00	0.00	1.00	-0.01	-0.09	-0.10
0.00	0.00	1.00	0.10	-0.16	-0.04
0.00	-0.01	1.00	0.17	-0.05	0.09
-0.00	-0.00	1.00	0.10	0.16	-0.01
-0.00	-0.00	1.00	0.07	0.07	-0.05
-0.00	-0.00	1.00	0.02	-0.00	-0.05
-0.00	-0.00	0.99	0.02	0.16	-0.01
-0.01	-0.00	1.00	0.10	0.04	-0.04
-0.00	0.00	1.00	0.05	-0.05	-0.04
-0.00	0.00	1.00	-0.15	0.01	-0.01
-0.00	0.00	1.00	-0.10	-0.13	-0.01
0.00	0.00	1.00	-0.09	-0.14	-0.01
-0.00	0.00	1.00	-0.07	-0.11	0.02
0.00	-0.00	0.99	0.02	-0.11	0.02
0.00	-0.00	1.00	0.04	-0.03	-0.07
0.01	0.00	1.00	0.05	0.03	-0.13
-0.00	0.01	1.00	0.08	0.03	-0.01
-0.00	0.01	1.00	0.08	0.04	0.07
0.00	0.00	0.99	0.05	0.03	-0.01
0.00	-0.00	0.99	-0.18	0.10	0.01
0.00	-0.00	0.99	-0.18	0.06	-0.01
0.00	0.00	0.99	-0.13	0.13	0.15
-0.00	0.00	1.00	-0.12	-0.11	0.09
0.00	-0.00	1.01	0.02	-0.14	0.10
-0.00	0.00	1.01	0.08	-0.03	0.01
-0.00	-0.00	1.00	0.04	0.03	-0.04
-0.00	-0.00	1.00	-0.12	0.06	0.07
-0.00	0.00	1.00	-0.13	0.07	0.07
0.00	0.00	1.00	-0.06	0.03	0.02
0.00	-0.00	0.99	0.02	-0.05	0.09
0.00	-0.00	1.00	-0.07	-0.03	0.01
0.01	-0.00	0.99	-0.04	0.03	0.06
0.00	-0.00	1.00	0.01	0.07	-0.08
-0.00	-0.00	1.00	0.02	0.10	-0.02
-0.00	-0.00	1.00	0.17	0.07	0.06
-0.00	-0.00	1.00	0.10	0.04	0.09
0.00	-0.00	1.00	-0.03	0.01	0.04
0.01	-0.00	1.00	-0.04	-0.02	-0.04
0.00	-0.00	1.00	-0.04	-0.05	-0.08
-0.00	-0.00	1.00	-0.06	0.09	0.01
-0.00	-0.00	1.01	-0.03	-0.02	-0.13
0.00	-0.00	1.01	-0.09	-0.08	0.01
0.00	-0.00	1.00	-0.12	-0.02	0.02
0.00	-0.00	1.00	0.01	-0.00	0.01
0.00	-0.00	1.00	0.07	0.06	-0.08
-0.00	-0.00	0.99	-0.13	0.13	-0.08
-0.00	-0.00	1.01	-0.09	0.10	0.01
0.00	0.00	1.01	0.01	0.06	0.02
0.00	-0.00	1.00	0.08	-0.06	-0.08
-0.00	-0.01	0.99	0.01	-0.20	-0.10
-0.00	0.00	1.00	0.04	-0.00	-0.02
0.00	0.00	1.00	0.04	0.03	0.01
0.00	-0.00	1.00	-0.03	0.07	-0.10
0.01	-0.01	1.00	-0.04	-0.13	-0.14
-0.00	-0.00	0.99	0.01	-0.00	-0.02
0.00	0.00	1.00	-0.07	0.13	0.02
0.00	-0.00	1.00	-0.12	0.09	0.09
0.00	-0.00	1.00	-0.01	-0.11	0.09
0.00	0.00	1.00	0.05	-0.03	0.16
-0.00	-0.00	1.00	-0.01	-0.00	-0.01
0.00	-0.00	1.00	-0.07	-0.06	-0.10
0.00	0.00	1.01	-0.12	-0.02	-0.10
-0.00	0.01	1.01	0.05	0.06	0.06
-0.00	-0.00	1.00	0.08	0.01	0.04
-0.00	0.00	1.00	0.04	-0.00	-0.02
-0.00	-0.00	1.00	-0.10	-0.05	-0.10
-0.00	0.00	1.00	-0.09	-0.02	0.10
0.00	0.00	0.99	-0.01	0.21	0.09
0.00	-0.00	1.00	-0.13	0.20	-0.05
0.00	0.00	1.00	-0.25	-0.00	-0.08
0.01	0.00	1.00	-0.09	-0.11	-0.10
0.00	-0.00	0.99	0.01	-0.08	-0.20
0.00	-0.00	0.99	-0.03	-0.08	-0.20
-0.00	0.00	1.00	-0.12	-0.05	-0.08
-0.00	-0.00	1.00	-0.03	0.03	0.06
-0.00	-0.00	1.00	-0.10	-0.02	0.10
0.00	0.00	1.00	-0.12	-0.05	0.06
0.00	0.00	0.99	-0.03	-0.08	0.10
0.00	-0.00	0.99	-0.13	0.03	0.07
0.00	-0.00	1.00	-0.09	0.04	0.04
-0.01	-0.00	1.00	-0.09	-0.00	-0.04
-0.00	-0.00	1.00	-0.01	-0.03	-0.04
0.00	-0.01	1.00	0.07	0.03	-0.07
0.01	-0.00	1.00	0.02	-0.14	0.01
0.00	0.00	0.99	0.02	-0.22	-0.07
-0.00	0.00	0.99	-0.09	-0.16	-0.08
-0.00	0.00	1.00	-0.21	-0.05	-0.13
0.00	0.00	1.01	-0.09	-0.00	-0.05
0.00	0.00	1.00	0.10	0.12	0.07
0.00	0.00	1.00	0.08	0.04	0.12
0.00	-0.01	1.00	-0.04	-0.00	0.06
-0.00	-0.00	1.01	0.02	-0.00	-0.04
-0.00	-0.00	1.00	-0.01	-0.09	-0.08
-0.00	-0.00	1.00	-0.04	-0.13	-0.05
0.00	-0.01	1.00	-0.10	-0.11	0.15
0.00	-0.01	1.00	-0.07	-0.03	0.06
-0.00	-0.00	1.00	-0.04	0.10	0.10
0.00	0.00	1.00	-0.09	0.09	-0.01
0.00	0.00	1.00	-0.04	-0.06	0.01
0.00	-0.00	1.00	-0.09	-0.11	0.09
-0.00	0.00	1.01	0.04	-0.13	0.18
-0.00	0.00	1.01	0.13	-0.06	0.07
0.00	-0.00	1.00	0.14	0.03	-0.11
0.00	-0.01	1.01	0.16	0.09	-0.22
-0.01	-0.00	1.00	0.16	0.12	-0.10
-0.00	0.00	0.99	0.14	0.06	-0.05
-0.00	0.00	1.00	-0.03	0.06	-0.14
-0.00	-0.00	1.00	0.02	-0.08	0.06
-0.00	0.00	1.00	0.01	0.04	-0.07
0.00	0.00	1.00	-0.12	0.13	0.02
0.00	0.00	1.00	-0.13	0.09	0.02
-0.00	-0.00	1.01	0.02	0.01	-0.13
-0.00	0.00	1.01	0.02	-0.00	-0.17
-0.00	-0.00	1.00	0.01	0.01	-0.13
-0.00	-0.00	1.00	-0.06	-0.00	-0.04
-0.00	0.00	1.00	0.07	0.06	0.10
-0.00	-0.00	1.00	0.08	0.09	0.09
0.00	-0.01	1.00	0.02	0.06	0.02
0.00	-0.00	0.99	-0.04	-0.08	-0.07
0.00	0.00	1.00	0.10	-0.03	-0.07
0.00	0.00	1.01	0.13	-0.03	-0.16
0.01	-0.00	1.01	0.05	0.01	0.02
0.01	-0.00	1.00	-0.01	-0.05	0.04
0.00	-0.00	1.00	0.04	-0.17	0.16
-0.00	0.00	0.99	-0.04	-0.00	0.28
0.00	-0.00	0.99	-0.09	0.03	0.10
0.00	0.00	1.00	-0.09	0.10	-0.05
-0.00	0.00	1.00	0.02	-0.09	-0.14
0.00	-0.00	1.00	0.10	-0.16	-0.11
0.01	0.00	1.00	-0.03	0.13	0.02
-0.00	-0.00	0.99	-0.12	0.12	0.19
-0.01	-0.01	1.00	0.04	0.15	0.13
-0.00	-0.01	1.00	0.17	0.16	0.09
-0.00	-0.00	1.00	0.16	0.10	0.04
0.00	0.00	1.00	0.04	0.07	-0.01
0.00	0.01	1.00	-0.06	-0.00	-0.13
0.00	0.01	1.00	-0.13	-0.09	-0.07
-0.00	0.00	1.00	-0.09	0.13	-0.07
-0.00	0.00	1.00	0.01	0.01	-0.07
0.00	-0.00	0.99	-0.13	-0.02	-0.07
0.00	-0.00	1.00	-0.15	-0.14	-0.01
0.00	-0.00	1.00	-0.01	-0.08	0.06
-0.00	-0.00	1.01	0.10	0.06	0.07
-0.01	-0.01	1.00	0.05	0.07	-0.05
0.00	0.00	1.00	-0.10	0.07	-0.14
0.00	0.00	1.01	-0.07	-0.08	-0.16
0.00	0.00	1.00	0.04	-0.17	-0.05
0.00	0.00	1.00	0.02	-0.14	0.09
-0.00	-0.00	1.00	0.01	-0.06	0.09
0.00	-0.00	1.00	-0.01	-0.00	0.10
-0.00	-0.00	0.99	-0.10	0.09	-0.05
0.00	-0.00	0.99	-0.09	-0.00	-0.28
-0.00	0.00	1.01	-0.15	-0.00	-0.04
-0.00	-0.00	1.01	-0.12	-0.08	0.09
0.00	-0.00	1.00	-0.04	0.07	-0.05
0.00	0.01	1.00	0.07	0.16	-0.10
-0.00	0.01	0.99	0.10	0.01	-0.05
0.00	0.00	0.99	0.08	-0.19	0.06
0.00	0.00	0.99	-0.12	-0.19	0.10
0.00	-0.00	1.00	-0.03	-0.03	-0.01
-0.00	-0.00	1.00	0.13	0.13	0.02
0.00	-0.00	0.99	0.04	0.09	0.07
0.00	0.00	0.99	-0.10	-0.06	0.01
-0.00	0.00	1.00	-0.10	-0.14	-0.02
0.00	0.00	1.00	-0.03	-0.19	0.02
0.01	0.00	1.00	0.14	0.06	0.10
-0.00	0.00	0.99	-0.04	0.07	0.07
0.01	0.00	1.00	-0.19	0.10	-0.01
0.00	0.00	1.00	-0.09	0.16	-0.05
0.00	-0.00	0.99	0.02	-0.00	0.01
0.01	-0.01	1.00	-0.01	0.03	0.16
-0.00	-0.00	1.00	-0.18	0.03	0.02
0.00	0.00	1.01	-0.15	0.13	-0.01
0.00	0.00	1.00	-0.12	-0.00	0.02
-0.00	-0.00	1.01	0.02	-0.05	0.04
0.00	0.00	1.00	0.02	0.07	0.01
0.00	-0.00	1.00	-0.13	0.10	-0.02
0.00	-0.00	1.00	-0.13	0.10	-0.02
0.01	-0.01	1.00	0.13	-0.05	0.02
-0.00	-0.00	1.00	0.04	0.01	-0.01
-0.00	0.00	1.00	0.05	-0.03	0.04
0.00	0.00	1.00	0.04	-0.02	0.18
-0.00	-0.00	1.00	-0.10	0.10	0.09
0.00	-0.00	1.00	-0.06	0.12	-0.05
0.00	0.00	1.01	0.05	-0.02	-0.08
-0.00	0.00	1.01	-0.04	0.06	-0.01
0.01	0.00	1.00	-0.16	0.20	-0.01
0.01	0.01	1.00	-0.16	0.12	-0.11
0.00	0.00	1.00	0.04	-0.14	-0.13
0.00	-0.00	1.01	0.08	0.12	-0.13
0.01	-0.01	0.99	0.11	-0.02	-0.16
0.01	-0.01	1.00	-0.04	-0.09	-0.13
0.00	-0.00	1.00	-0.06	-0.16	0.10
0.00	-0.00	1.00	0.08	0.04	0.06
0.00	-0.00	1.00	0.02	0.06	-0.01
-0.00	0.01	1.01	-0.07	0.16	-0.08
-0.00	0.00	1.01	-0.07	0.12	-0.07
-0.00	-0.00	1.00	-0.09	0.13	-0.02
0.00	0.00	0.99	-0.09	0.06	0.01
-0.00	-0.01	0.99	0.05	-0.02	-0.04
-0.00	-0.01	0.99	-0.07	-0.22	-0.02
-0.00	-0.00	0.99	-0.07	-0.08	-0.04
-0.00	-0.00	1.01	-0.03	0.03	-0.05
-0.00	-0.00	0.99	-0.07	0.01	0.04
0.00	-0.00	1.00	-0.06	0.06	0.02
0.00	-0.00	0.99	0.19	-0.19	-0.13
-0.00	-0.00	0.99	0.19	-0.09	-0.02
-0.00	-0.00	0.99	0.16	0.03	0.13
-0.00	-0.00	0.99	0.01	0.06	0.07
0.00	-0.00	1.00	0.08	0.06	-0.02
0.00	0.00	0.99	-0.01	-0.05	-0.14
-0.00	0.00	1.00	0.05	-0.11	-0.19
0.00	0.00	1.00	0.02	-0.05	-0.08
0.00	0.00	1.01	0.05	-0.03	-0.07
-0.00	0.00	1.00	0.01	-0.08	-0.10
-0.00	0.00	0.99	-0.01	-0.08	-0.08
0.00	-0.00	1.00	-0.01	-0.11	-0.05
-0.00	-0.00	1.01	-0.07	-0.09	-0.02
-0.00	0.00	1.01	-0.13	-0.05	0.02
0.00	0.00	1.00	-0.04	0.15	-0.13
-0.00	0.00	1.00	-0.01	0.23	-0.07
-0.00	-0.00	1.00	0.08	0.13	0.10
0.00	0.00	1.00	0.05	0.06	-0.01
-0.00	-0.00	0.99	0.04	0.09	-0.04
-0.00	-0.00	0.99	0.01	0.04	-0.17
0.00	-0.00	1.00	-0.07	-0.00	-0.14
-0.00	0.00	1.00	-0.03	-0.13	0.10
0.00	-0.00	0.99	0.02	-0.08	0.12
0.00	0.00	1.00	0.04	-0.02	0.02
0.00	-0.00	1.00	-0.01	-0.14	0.06
-0.00	-0.00	0.99	-0.03	-0.02	0.12
-0.00	0.00	1.00	0.07	0.07	-0.07
-0.00	-0.00	1.00	0.07	0.03	-0.16
-0.01	0.00	1.00	-0.04	-0.20	-0.11
-0.00	-0.00	1.01	0.07	-0.09	-0.13
0.00	-0.01	1.00	0.01	-0.05	-0.10
0.00	-0.00	0.99	0.05	0.07	0.04
0.00	-0.00	1.00	-0.07	0.16	0.02
-0.00	-0.01	1.00	-0.18	0.03	-0.02
0.00	-0.00	1.00	-0.07	0.10	0.01
-0.00	0.00	1.01	-0.04	-0.06	0.01
-0.01	0.00	1.00	-0.03	-0.02	-0.11
-0.00	0.00	1.00	0.13	0.16	-0.11
-0.00	-0.00	1.01	0.11	-0.00	0.06
-0.00	-0.00	1.00	0.02	-0.13	0.01
0.00	0.00	1.00	-0.07	0.03	-0.05
0.00	-0.00	1.00	-0.12	0.09	-0.14
0.00	-0.00	1.00	-0.06	0.01	-0.13
0.01	-0.00	1.00	-0.06	-0.08	-0.02
0.01	0.00	1.00	0.04	0.03	0.02
-0.00	0.00	0.99	0.07	0.10	0.10
-0.00	0.00	1.00	-0.10	0.06	0.04
-0.00	0.00	1.00	0.07	0.13	-0.04
0.01	0.00	1.00	0.19	0.03	-0.08
0.00	-0.00	1.00	0.04	-0.00	-0.07
0.00	-0.00	1.01	-0.03	0.13	0.04
-0.00	-0.00	1.00	-0.09	0.04	0.19
0.00	-0.00	0.99	0.07	0.07	0.12
0.00	0.01	1.00	0.04	0.01	-0.07
0.01	0.00	1.00	0.02	-0.00	-0.01
0.00	0.00	1.00	0.14	-0.02	0.09
-0.00	0.00	1.00	0.19	-0.13	0.13
-0.00	-0.00	1.00	-0.04	0.01	0.07
0.00	-0.01	1.00	-0.07	0.12	0.02
-0.00	0.01	0.99	-0.03	0.23	0.02
0.00	-0.00	1.00	-0.03	-0.08	0.02
-0.00	0.00	1.00	-0.09	-0.17	0.10
0.00	-0.00	1.00	-0.06	-0.00	0.02
0.01	-0.00	1.00	-0.03	-0.08	-0.08
0.00	0.00	0.99	0.07	-0.06	-0.13
0.00	-0.00	1.00	0.01	-0.13	0.04
0.00	-0.00	1.00	-0.03	0.01	0.04
0.00	-0.00	1.00	-0.09	-0.05	0.01
0.00	-0.01	0.99	-0.04	0.04	-0.10
0.00	-0.00	0.99	-0.01	-0.09	-0.07
-0.00	-0.01	1.00	-0.03	-0.03	0.04
0.00	-0.01	1.00	0.05	-0.16	0.04
0.00	-0.00	1.00	0.08	0.01	-0.01
-0.00	-0.00	1.00	-0.01	0.13	-0.02
-0.00	-0.00	1.00	-0.13	0.09	-0.02
0.00	-0.00	1.00	-0.12	0.01	0.04
0.00	-0.00	1.00	-0.18	-0.00	-0.01
-0.00	-0.00	1.00	-0.03	-0.00	-0.01
-0.00	0.00	1.00	0.05	-0.16	-0.07
0.00	0.01	1.00	-0.12	-0.08	-0.16
0.00	-0.00	1.00	-0.22	-0.00	-0.02
0.00	-0.00	1.00	-0.03	0.01	-0.04
-0.00	-0.00	1.00	-0.06	0.04	-0.14
0.01	-0.00	1.01	-0.16	-0.00	-0.17
0.00	-0.00	1.01	-0.12	-0.20	-0.05
-0.00	0.00	1.00	-0.07	-0.13	-0.08
-0.00	-0.01	1.00	-0.09	-0.03	-0.02
0.00	-0.01	1.00	0.08	-0.00	0.15
-0.00	-0.00	1.01	0.11	-0.00	0.04
0.00	-0.00	1.00	-0.01	0.01	-0.04
0.00	-0.00	1.01	-0.16	0.10	-0.07
0.00	0.00	1.01	-0.01	0.15	0.06
0.01	-0.00	1.01	0.08	0.10	0.06
0.01	-0.00	1.00	0.01	0.09	0.10
0.00	0.00	1.00	-0.03	-0.03	-0.16
0.00	-0.00	0.99	-0.06	-0.13	-0.16
0.00	-0.00	1.00	0.08	-0.02	-0.02
-0.00	0.00	0.99	0.14	0.04	-0.04
0.00	0.00	1.00	-0.07	0.01	-0.14
-0.00	0.00	1.00	0.02	-0.03	-0.04
0.00	0.00	1.00	-0.07	-0.09	0.09
0.00	0.00	1.00	-0.15	0.03	0.09
0.01	-0.00	1.00	-0.03	0.09	-0.02
0.01	-0.00	1.00	-0.09	0.07	-0.04
0.01	0.00	1.00	-0.09	0.10	0.01
0.00	0.00	1.00	-0.12	0.10	0.07
-0.00	-0.00	1.00	-0.07	-0.05	-0.07
0.00	-0.00	1.00	0.02	-0.20	0.01
0.01	-0.00	1.00	-0.01	-0.08	0.09
0.00	0.00	1.00	-0.01	0.16	0.09
-0.00	0.00	1.00	0.16	0.06	0.04
0.00	-0.00	0.99	-0.12	-0.05	0.02
-0.00	-0.00	1.00	-0.16	-0.05	0.06
-0.00	0.00	1.00	0.02	-0.11	-0.05
0.00	-0.00	1.00	0.20	-0.06	-0.07
0.00	0.00	1.00	0.19	-0.05	0.04
0.00	-0.00	0.99	-0.01	-0.03	0.04
